variant,metric,mean,ci95_low,ci95_high
FP16 to BF16,correction_rate,0.020543404469434312,0.012394837911585292,0.029258881779897872
FP16 to BF16,retained_source_mass,0.7341507361592826,0.7099440463427045,0.759872815288216
FP16 to BF16,sentence_complete_rate,1.0,1.0,1.0
BF16 to FP16,correction_rate,0.020648124565817928,0.01328122438262348,0.02860236318187204
BF16 to FP16,retained_source_mass,0.7298033253455961,0.7006141414419089,0.7608932153745529
BF16 to FP16,sentence_complete_rate,0.95,0.85,1.0
