setting,trials,corrected_exact,uncorrected_exact,correction_rate,correction_ci_low,correction_ci_high,legacy_payload_ratio,legacy_payload_ci_low,legacy_payload_ci_high,sentence_complete,source
"FP16 to BF16, top-2, main scale",60,60,10,0.021605904154340095,0.018013859157276123,0.025277080761966178,0.028807872205786796,0.02396010560541254,0.03357127951663812,58,outputs/R044_qwen_replay_scale_analysis.json
"FP16 to BF16, top-2, ablation subset",20,20,5,0.020543404469434312,0.012394837911585292,0.029258881779897872,0.02739120595924575,0.016710597623198074,0.03867711341320915,20,outputs/R044_qwen_replay_scale.json
"FP16 to BF16, top-4",20,20,1,0.024081380938831755,0.019450341704278777,0.028616503685403524,0.03210850791844234,0.02598981248127902,0.0382028485741043,16,outputs/R045_qwen_contract_k4.json
"BF16 to FP16, top-2",20,20,5,0.020648124565817928,0.01328122438262348,0.02860236318187204,0.0275308327544239,0.017428011269956464,0.03818752328914412,19,outputs/R046_qwen_reverse_precision.json
