variant,metric,mean,ci95_low,ci95_high
top-2,retained_source_mass,0.7341507361592826,0.7099440463427045,0.759872815288216
top-2,truncation_kl_nats,0.38211902907759293,0.33792705001329665,0.426119648633483
top-2,correction_rate,0.020543404469434312,0.012394837911585292,0.029258881779897872
top-2,contract_exact_rate,0.8445316981807458,0.8289183324268359,0.859551197685307
top-4,retained_source_mass,0.8441916404767253,0.8238555582847467,0.8617682364830173
top-4,truncation_kl_nats,0.19808919937574784,0.17264063313853625,0.22749886148063667
top-4,correction_rate,0.024081380938831755,0.019450341704278777,0.028616503685403524
top-4,contract_exact_rate,0.5931670829696337,0.5740358305397432,0.6123818516794434
