variant,trials,correction_rate,correction_rate_ci95_low,correction_rate_ci95_high,contract_source_mass,contract_source_mass_ci95_low,contract_source_mass_ci95_high,contract_truncation_kl_nats,contract_truncation_kl_nats_ci95_low,contract_truncation_kl_nats_ci95_high,quantization_tv,quantization_tv_ci95_low,quantization_tv_ci95_high,contract_exact_rate,contract_exact_rate_ci95_low,contract_exact_rate_ci95_high,sentence_complete_rate,sentence_complete_rate_ci95_low,sentence_complete_rate_ci95_high,corrected_exact_rate,corrected_exact_rate_ci95_low,corrected_exact_rate_ci95_high,uncorrected_exact_rate,uncorrected_exact_rate_ci95_low,uncorrected_exact_rate_ci95_high
Top-2,20,0.02,0.012153615659913753,0.028727866042523656,0.7335440213815764,0.7097980573971122,0.759122440128056,0.383661466419403,0.33972576131176285,0.42630984452541776,0.02257538480703482,0.02112380946337456,0.023908968961234754,0.8446666666666667,0.8290189853312815,0.8597403473128354,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1,0.45
Top-4,20,0.024029574861367836,0.01954971779668623,0.028483019044938548,0.8446235597717205,0.8236217158728936,0.862592568036936,0.19780144165589647,0.17198029899595224,0.22825539134836398,0.021900923728073587,0.02044497898839871,0.023409399682692206,0.5933456561922366,0.5746084105026311,0.6123399999023486,0.8,0.6,0.95,1.0,1.0,1.0,0.05,0.0,0.15
